,除權除息日期,股票代號,名稱,除權息,無償配股率,現金增資配股率,現金增資認購價,現金股利,詳細資料,參考價試算,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘
46,112年07月06日,1906,寶隆,息,0.00000000,0.00000000,0.00000000,0.50000000,"1906,20230706",",0.50000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),33.27,-0.28
47,112年07月04日,1909,榮成,息,0.00000000,0.00000000,0.00000000,0.25000000,"1909,20230704",",0.25000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),17.77,-0.48
48,112年06月27日,2012,春雨,息,0.00000000,0.00000000,0.00000000,1.00000000,"2012,20230627",",1.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),14.71,0.22
49,112年06月29日,2013,中鋼構,息,0.00000000,0.00000000,0.00000000,1.70000000,"2013,20230629",",1.70000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),26.89,0.48
50,112年06月13日,2020,美亞,息,0.00000000,0.00000000,0.00000000,1.00000000,"2020,20230613",",1.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),14.17,0.75
51,112年07月12日,2024,志聯,息,0.00000000,0.00000000,0.00000000,0.35000000,"2024,20230712",",0.35000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),12.06,-0.14
52,112年06月29日,2103,台橡,息,0.00000000,0.00000000,0.00000000,1.08000000,"2103,20230629",",1.08000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),22.01,0.31
53,112年06月29日,2104,國際中橡,息,0.00000000,0.00000000,0.00000000,0.10000000,"2104,20230629",",0.10000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),35.19,0.02
54,106年12月18日,2115,六暉-KY,息,0.00000000,0.00000000,0.00000000,1.30000000,"2115,20230628",",1.30000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),32.05,1.21
55,112年06月16日,2247,汎德永業,息,0.00000000,0.00000000,0.00000000,15.00000000,"2247,20230616",",15.00000000,0.00000000,0.00000000,0.00000000",112年第1季(https://mops.twse.com.tw/mops/web/t163sb01),141.58,5.03
